name,email,code,role
Sami,deniz.arslanoglu@example.com,aUyOtvsb,instructor
Freja,lorenzo.guerin@example.com,pRRcxNMP,instructor
Cassandre,deniz.egeli@example.com,iVQCOoQI,instructor
Leopoldo,awyn.jaafry@example.com,BrhiKfPD,instructor
Isla,lucy.carroll@example.com,BkeNCEsA,instructor
Sophie,kasper.moller@example.com,VNECeKtt,instructor
Mahé,pihla.ylitalo@example.com,wzvtfaPS,instructor
Willard,felix.king@example.com,rEVWnqhb,instructor
Austin,vincent.wheeler@example.com,MfvIxBOd,instructor
Terumi,annelieke.vandevoort@example.com,VuqCIIVF,instructor
Nina,robin.carr@example.com,QuKGzfVp,instructor
Marten,charlotte.duncan@example.com,xAYWAmol,instructor
Kadir,matias.hannula@example.com,poPrzjwn,instructor
Lumi,jennifer.schaar@example.com,jYHCIaDQ,instructor
Hayley,ross.rhodes@example.com,qjnPGgWB,instructor
Marshall,damian.kretschmer@example.com,WimQpfis,instructor
Hana,enora.bourgeois@example.com,HyzODYOx,instructor
Ella,yann.robin@example.com,wrikJFjm,instructor
Ana,luna.mercier@example.com,JBRzHQPh,instructor
Brandy,fernando.perry@example.com,zYxszQZG,instructor
